Acer saccharum
Achillea millefolium
Agave americana
Allium sativum
Aloe vera
Artemisia absinthium
Asparagus officinalis
Bambusa vulgaris
Borago officinalis
Brassica oleracea
Calendula officinalis
Camellia sinensis
Capsicum annuum
Carica papaya
Catharanthus roseus
Centaurea cyanus
Chamaemelum nobile
Chrysanthemum indicum
Cinnamomum verum
Citrus aurantium
Coffea arabica
Colocasia esculenta
Coriandrum sativum
Cucurbita pepo
Curcuma longa
Digitalis purpurea
Echinacea purpurea
Eucalyptus globulus
Foeniculum vulgare
Ginkgo biloba
Glycyrrhiza glabra
Helianthus annuus
Humulus lupulus
Hypericum perforatum
Lavandula angustifolia
Lycopersicon esculentum
Matricaria chamomilla
Mentha piperita
Morus alba
Nelumbo nucifera
Ocimum basilicum
Olea europaea
